type,function,shaft,hole,standard,system,note,ras400_application
===ANSI B4.1 現有資料中的錯誤/遺漏 (ANSI Inch System)===
留隙配合,定位 可裝拆（精密）,H8,h7,LC3,ANSI B4.1,滑動,蓋板定位
留隙配合,定位 較鬆（精度不高）,H10,h9,LC4,ANSI B4.1,滑動,非精密蓋板/外殼
留隙配合,精確定位 帶小間隙,H7,g6,LC5,ANSI B4.1,滑動,分流座定位
留隙配合,中等間隙,H9,f8,LC6,ANSI B4.1,滑動,一般定位
留隙配合,較大間隙,H10,e9,LC7,ANSI B4.1,滑動,寬公差定位
留隙配合,大間隙,H10,d9,LC8,ANSI B4.1,滑動,大間隙配合
留隙配合,極大間隙,H11,c10,LC9,ANSI B4.1,滑動,自由配合
留隙配合,超大間隙,H12,,LC10,ANSI B4.1,滑動,寬鬆配合
留隙配合,最大間隙,H13,,LC11,ANSI B4.1,滑動,最鬆配合
過渡配合,定位 可裝拆（輕打）,H7,n7,LT6,ANSI B4.1,中壓,精確固定定位
過盈配合,定位 無須傳力 剛性對準,H6,n5,LN1,ANSI B4.1,重壓,軸承輕定位
過盈配合,定位 中等剛性（現有LN2 H7/p6 正確）,H7,p6,LN2,ANSI B4.1,重壓,軸承定位
過盈配合,定位 高剛性,H7,r6,LN3,ANSI B4.1,重壓,高剛性定位
===ISO 公制配合 - 孔基準 Hole Basis (ANSI/ASME B4.2 / ISO 286) ← 最適合RAS-400===
留隙配合,寬鬆運轉 寬商業公差,c11,H11,H11/c11,ISO B4.2,寬鬆運轉,冷卻水套外殼粗配合
留隙配合,自由運轉 高速/大溫差/重負荷,d9,H9,H9/d9,ISO B4.2,自由運轉,馬達水套粗定位
留隙配合,精密運轉 精密機械中速,f7,H8,H8/f7,ISO B4.2,精密運轉,轉動盤導向
留隙配合,滑動 精確移動與定位 不連續旋轉,g6,H7,H7/g6,ISO B4.2,滑動,分流座/心軸滑動定位
留隙配合,定位間隙 靜止零件 可自由裝拆,h6,H7,H7/h6,ISO B4.2,定位間隙,蓋板/馬達座基準定位
過渡配合,精確定位 可輕微過盈或過隙,k6,H7,H7/k6,ISO B4.2,定位過渡,轉動軸/軸承座精確定位
過渡配合,較緊定位 較大干涉量,n6,H7,H7/n6,ISO B4.2,緊定位過渡,馬達座/軸承座輕壓定位
過盈配合,定位干涉 剛性對準 無特殊壓力需求,p6,H7,H7/p6,ISO B4.2,定位干涉,制動器鐵芯定位
過盈配合,中等壓入 鋼件/鑄鐵輕量壓入,s6,H7,H7/s6,ISO B4.2,中等壓入,轉矩馬達定子壓入馬達座
過盈配合,強制壓入 高應力零件/不拆卸,u6,H7,H7/u6,ISO B4.2,強制壓入,轉子永久壓入主軸
===ISO 公制配合 - 軸基準 Shaft Basis (ANSI/ASME B4.2 / ISO 286)===
留隙配合,寬鬆運轉（軸基準）,h11,C11,C11/h11,ISO B4.2,寬鬆運轉,外殼或套筒基準鬆配合
留隙配合,自由運轉（軸基準）,h9,D9,D9/h9,ISO B4.2,自由運轉,一軸多孔座配合基準軸
留隙配合,精密運轉（軸基準）,h7,F8,F8/h7,ISO B4.2,精密運轉,公差軸導引孔精密配合
留隙配合,滑動（軸基準）,h6,G7,G7/h6,ISO B4.2,滑動,基準軸與精確孔滑動
留隙配合,定位間隙（軸基準）,h6,H7,H7/h6,ISO B4.2,定位間隙,與孔基準相同結果
過渡配合,定位過渡（軸基準）,h6,K7,K7/h6,ISO B4.2,定位過渡,基準軸輕壓定位
過渡配合,緊定位（軸基準）,h6,N7,N7/h6,ISO B4.2,緊定位,基準軸中壓定位
過盈配合,定位干涉（軸基準）,h6,P7,P7/h6,ISO B4.2,定位干涉,基準軸剛性對準
過盈配合,中等壓入（軸基準）,h6,S7,S7/h6,ISO B4.2,中等壓入,基準軸中壓裝配
過盈配合,強制壓入（軸基準）,h6,U7,U7/h6,ISO B4.2,強制壓入,基準軸強制壓入
===RAS-400 特定零件推薦配合 (ISO系統)===
留隙配合,軸承外圈/軸承座（精密主軸軸承）,js6 or k6,H7,H7/k6 or JS7,ISO B4.2,過渡/緊密,心軸軸承座（迴轉軸 #2 軸承）
留隙配合,軸承外圈/軸承座（傾斜軸軸承）,k6,H7,H7/k6,ISO B4.2,定位過渡,傾斜軸 #1 #8 軸承座
過盈配合,軸承內圈/心軸（固定旋轉）,n6 or p6,H7,K7/h6,ISO B4.2,緊定位,心軸/轉動軸上的軸承內圈
過盈配合,轉矩馬達定子壓入馬達座,s6,H7,H7/s6,ISO B4.2,中等壓入,轉矩馬達永久安裝
留隙配合,制動器本體/馬達座,h6,H7,H7/h6,ISO B4.2,定位間隙,制動器可拆卸安裝
留隙配合,編碼器心軸定位,g6,H7,H7/g6,ISO B4.2,滑動,編碼器心軸精確安裝與調整
留隙配合,分流座/馬達座定位,h6,H7,H7/h6,ISO B4.2,定位間隙,分流座螺栓固定+定位
過盈配合,C型扣環槽（傾斜軸#9）,,,DIN/ISO,環槽標準,C型扣環依DIN471軸用扣環標準
留隙配合,油封孔座（傾斜軸#15）,H8,,ISO B4.2,油封安裝,油封外徑壓入配合 依ISO 6194
留隙配合,密封環溝槽（傾斜軸#14）,h8,,ISO B4.2,密封配合,O型環槽依ISO 3601
